period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,unit,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,nameplate-capacity-mw,nameplate-capacity-mw-units
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59040,Rising Tree Wind Farm II LLC,59235,Rising Tree Wind Farm II,GEN1,,Onshore Wind Turbine,WND,Wind,WT,CISO,California Independent System Operator,OP,Operating,19.8,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59041,Lone Valley Solar Park II LLC,59237,Lone Valley Solar Park II LLC,CPII,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,20.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59042,Rising Tree Wind Farm III LLC,59236,Rising Tree Wind Farm III,GEN1,,Onshore Wind Turbine,WND,Wind,WT,CISO,California Independent System Operator,OP,Operating,99.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59050,Algonquin Power Co,59412,Algonquin SKIC20 Solar LLC,SKI20,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,20.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59050,Algonquin Power Co,60242,"Algonquin SKIC 10 Solar, LLC",SKI10,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,10.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59089,Merced Solar LLC,59265,Merced Solar LLC,PV8,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59090,Mission Solar LLC,59267,Mission Solar LLC,PV9,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-chp,IPP CHP,56652,DTE Stockton LLC,54238,Stockton Biomass,STG,,Wood/Wood Waste Biomass,WDS,Wood Waste Solids,ST,CISO,California Independent System Operator,OP,Operating,54.0,MW
2021-06,CA,California,industrial-chp,Industrial CHP,58264,"New-Indy, Oxnard LLC",57585,Oxnard Paper Mill,1,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,29.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58306,Exeter Solar,1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58306,Exeter Solar,2,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58306,Exeter Solar,3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58307,Ivanhoe Solar,1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58307,Ivanhoe Solar,2,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,0.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58307,Ivanhoe Solar,3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58308,Lindsay Solar,1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58308,Lindsay Solar,3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58308,Lindsay Solar,4,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58309,Porterville Solar,1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58309,Porterville Solar,2,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58268,Tulare PV I LLC,58309,Porterville Solar,5,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58269,Tulare PV II LLC,58304,Kingsburg Solar,1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58269,Tulare PV II LLC,58304,Kingsburg Solar,2,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58269,Tulare PV II LLC,58304,Kingsburg Solar,3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,0.7,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58135,Ecos Energy LLC,58509,Vintner Solar,PV4,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58135,Ecos Energy LLC,60412,Munro Valley Solar,MUN,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,4.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58135,Ecos Energy LLC,58508,Bear Creek Solar,PV3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58135,Ecos Energy LLC,58510,Kettleman Solar Project,PV5,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,commercial-non-chp,Commercial Non-CHP,59173,City of Tulare Water Pollution Control,59395,City of Tulare Water Facility,SC500,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59176,Diamond Valley Solar LLC,59405,Diamond Valley Solar Project,PV11,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.3,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,57362,Energy 2001 Inc,57988,Lincoln Landfill,GEN 5,,Landfill Gas,LFG,Landfill Gas,IC,CISO,California Independent System Operator,OP,Operating,0.8,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,57362,Energy 2001 Inc,57988,Lincoln Landfill,GEN 6,,Landfill Gas,LFG,Landfill Gas,IC,CISO,California Independent System Operator,OP,Operating,0.8,MW
