datetime,Grid Node From,Grid Node To,Value,unit
2022-08-01 18:00:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 18:00:00+00:00,UK-GB,NL,-104.0,MW
2022-08-01 18:00:00+00:00,UK-GB,NO,-176.0,MW
2022-08-01 18:30:00+00:00,UK-GB,BE,-814.0,MW
2022-08-01 18:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 18:30:00+00:00,UK-GB,NO,-576.0,MW
2022-08-01 19:00:00+00:00,UK-GB,BE,-816.0,MW
2022-08-01 19:00:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 19:00:00+00:00,UK-GB,NO,-632.0,MW
2022-08-01 19:30:00+00:00,UK-GB,BE,-788.0,MW
2022-08-01 19:30:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 19:30:00+00:00,UK-GB,NL,-308.0,MW
2022-08-01 19:30:00+00:00,UK-GB,NO,-1042.0,MW
2022-08-01 20:00:00+00:00,UK-GB,BE,-790.0,MW
2022-08-01 20:00:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 20:00:00+00:00,UK-GB,NL,-330.0,MW
2022-08-01 20:00:00+00:00,UK-GB,NO,-1092.0,MW
2022-08-01 20:30:00+00:00,UK-GB,BE,-712.0,MW
2022-08-01 20:30:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 20:30:00+00:00,UK-GB,NL,-710.0,MW
