nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-02,32,DAID,2022-01-02 15:15:00,,Y,-30411,
N,2022-01-02,33,DAID,2022-01-02 15:45:00,,Y,-33296,
N,2022-01-02,34,DAID,2022-01-02 16:15:00,,Y,-34775,
N,2022-01-02,35,DAID,2022-01-02 16:45:00,,Y,-35193,
N,2022-01-02,36,DAID,2022-01-02 17:15:00,,Y,-34894,
N,2022-01-02,37,DAID,2022-01-02 17:45:00,,Y,-34128,
N,2022-01-02,38,DAID,2022-01-02 18:15:00,,Y,-33143,
N,2022-01-02,39,DAID,2022-01-02 18:45:00,,Y,-32663,
N,2022-01-02,40,DAID,2022-01-02 19:15:00,,Y,-31817,
N,2022-01-02,41,DAID,2022-01-02 19:45:00,,Y,-31267,
N,2022-01-02,42,DAID,2022-01-02 20:15:00,,Y,-30166,
N,2022-01-02,43,DAID,2022-01-02 20:45:00,,Y,-29078,
N,2022-01-02,44,DAID,2022-01-02 21:15:00,,Y,-27919,
N,2022-01-02,45,DAID,2022-01-02 21:45:00,,Y,-28396,
N,2022-01-02,46,DAID,2022-01-02 22:15:00,,Y,-28114,
N,2022-01-02,47,DAID,2022-01-02 22:45:00,,Y,-27713,
N,2022-01-02,48,DAID,2022-01-02 23:15:00,,Y,-27113,
N,2022-01-01,1,DAIG,2021-12-31 23:45:00,,Y,,22748
N,2022-01-01,2,DAIG,2022-01-01 00:15:00,,Y,,22892
N,2022-01-01,3,DAIG,2022-01-01 00:45:00,,Y,,22944
N,2022-01-01,4,DAIG,2022-01-01 01:15:00,,Y,,23314
N,2022-01-01,5,DAIG,2022-01-01 01:45:00,,Y,,23286
N,2022-01-01,6,DAIG,2022-01-01 02:15:00,,Y,,23590
N,2022-01-01,7,DAIG,2022-01-01 02:45:00,,Y,,23981
N,2022-01-01,8,DAIG,2022-01-01 03:15:00,,Y,,24143
N,2022-01-01,9,DAIG,2022-01-01 03:45:00,,Y,,24436
N,2022-01-01,10,DAIG,2022-01-01 04:15:00,,Y,,24439
N,2022-01-01,11,DAIG,2022-01-01 04:45:00,,Y,,24951
N,2022-01-01,12,DAIG,2022-01-01 05:15:00,,Y,,25358
N,2022-01-01,13,DAIG,2022-01-01 05:45:00,,Y,,25578
N,2022-01-01,14,DAIG,2022-01-01 06:15:00,,Y,,25700
N,2022-01-01,15,DAIG,2022-01-01 06:45:00,,Y,,25878
N,2022-01-01,16,DAIG,2022-01-01 07:15:00,,Y,,26022
N,2022-01-01,17,DAIG,2022-01-01 07:45:00,,Y,,25178
N,2022-01-01,18,DAIG,2022-01-01 08:15:00,,Y,,25158
N,2022-01-01,19,DAIG,2022-01-01 08:15:00,,Y,,25336
N,2022-01-01,20,DAIG,2022-01-01 09:15:00,,Y,,25429
N,2022-01-01,21,DAIG,2022-01-01 09:45:00,,Y,,25517
N,2022-01-01,22,DAIG,2022-01-01 10:15:00,,Y,,25594
N,2022-01-01,23,DAIG,2022-01-01 10:45:00,,Y,,26292
N,2022-01-01,24,DAIG,2022-01-01 11:15:00,,Y,,26327
N,2022-01-01,25,DAIG,2022-01-01 11:45:00,,Y,,25978
N,2022-01-01,26,DAIG,2022-01-01 12:15:00,,Y,,26033
N,2022-01-01,27,DAIG,2022-01-01 12:45:00,,Y,,26609
N,2022-01-01,28,DAIG,2022-01-01 13:15:00,,Y,,26614
N,2022-01-01,29,DAIG,2022-01-01 13:45:00,,Y,,26868
